"FmcO7b","vWB2ve","T7nuU 2","gjvCCd"
"Joseph Conrad","a year ago","Honestly a month ago I would not have thought I’d be writing this since I wasn’t even sure I’d bother playing this but after playing the demo I became intrigued and after around 15 hours of playtime I am in love with this game. I have been disappointed several times over the last year with certain releases chief amongst those being Starfield. So for a gem like this to come along and blow me away feels good.

I love everything about this game from the joyous combat to the challenging and exhilarating platforming. Games like this under the so called Metroidvania genre can be very hit or miss with me. I’m sure I’m one of the few but I was not a fan of Metroid Dread. However when a game like The Lost Crown can use there platforming mechanics in such inventive ways it’s thrilling once you figure out the steps and spots that used to be confound you become easy to traverse. At least until you get lazy and forget a step and have to do it all over again.

The combat is just as much fun as you’d want it to be. The sprawling map you unlock is filled with different types of enemies from the easiest to the one you can barely scratch and just have to figure out a way around. There’s one in particular that is the stuff of nightmares.

Prince of Persia The Lost Crown is a great achievement in the 2D platforming games and a reminder that such games can still be fun in the days of massive 3D open world games. I know it’s early days but I would say this is probably going to be one my favorite games of the year.","4 people found this helpful."
"Dima Posviat","2 months ago","The game is absolutely stunning. An amazing action-platformer that grips you from the very first seconds. For a long, very long time, I’ve been searching for a game where I could spend hours trying to conquer just a single challenge. And this is it.

The game is a masterpiece—polished, beautiful, with outstanding visuals and an exceptional soundtrack. It features a wonderful story with nods to ancient Persia, bone-crushing combat, and an impeccable fighting system. All of this comes together beautifully.

If it were in 3D or a third-person format, it would lose much of its charm. This is hands down one of the best game I’ve played in years.","Was this review helpful to you?"
"cassandra jenkins","11 months ago","Absolutely wonderful game and my first Pop game! The characters designs are fire!! Sargon look is one of the reasons I picked the game up. Other is the art style and awesome visuals and I honestly had a blast on the boss fights even if I lost a lot I didn’t mind fighting over and over because of how fun it is to play! The story is really good too. And the music my goddess I could listen to it all day. It’s difficult though so be ready for a wild ride!","1 person found this helpful."
"D A","7 months ago","A boring first 2 hours as the move list is too small but then suddenly picks up and had me hooked till the very end. Money well spent, a great ride over all. Can highly recommend it. Just get passed the boring first hour or so. Hope they make more games like these, the graphics and artwork were great, that frozen in time ocean and ship part is incredible and just so many gems this game has to offer.","1 person found this helpful."
"Matt","7 months ago","Long game but doesn't get too repetitive. Puzzle designs are challenging yet fun and refreshing. The Persian mythology is on point and the graphics are comic-style and enjoyable. Couple of minor glitches throughout the game, but totally forgiveable. This is the type of game which will immerse you in itself and will distract you away from your stressors for hours at a time. The indirect similarities to Dragon Ball Z for the power-ups and styles are enjoyable. Overall, very well made and worth the price, especially if you get it used. Enjoy!","Was this review helpful to you?"
"Adam S","8 months ago","One of the best games I’ve ever played. Criminally underrated revival to a once beloved franchise. My favorite combat and traversal mechanics in any game. The level design, platforming puzzles, and boss fights are all top notch, and it innovates on the  Metroidvania genre in some amazing ways. Hopefully it inspires other developers or even gets a sequel. Would love to see this team get to take another crack at it.","Was this review helpful to you?"
"Passion for Music","a year ago","I am a very casual gamer and this is my review i finish the game last night.

Spoiler alert, the bosses fights later on can be very challenging, there is an option to customize the damage you receive that help a lot, you can also get help for the hard platforming places.  I actually surprised myself being able to do many of those hard parts.

The game is trial and errors, i died so many times, and sometimes the checkpoints are awful. Make sure you find as many soma trees as you can they are save and checkpoints.

There are some puzzles and so really made me mad, the clock tower is one of them were i almost gave up on the game, i had to redo that one like 30 times. Sad the devs did not include a skip puzzle option. 

The game for a 2d is beautiful, and its really fun to play. But be warned there are difficulty spikes.","Was this review helpful to you?"
"Felix","a year ago","Overall I liked it. Could have done better I think. The last Wii PoP was better overall.

What I liked about it:
- fast paced, runs fast, smooth actions
- lots of special skills obtained and used
- challenging, lots of fights and puzzles
- big map, lots of varieties
- great graphics
- has a nostalgic feel to it, feels like the 1st original version of the game with better graphics and game play

What I don't like about it:
- 2d not 3d
- too repetitive running around the same screens (you have to do a LOT of the same screens just to get to a fast travel spot to fast travel)
- a lot of screens are just empty ie. you come in from the left and exit the right with nothing to do, time consuming or outright boring
- some fights and puzzles are extremely difficult and needs 'exact' timing to complete which is very frustrating even on easy level
- could have done something similar to Zelda where it's more open world and complete things in different sequence. I think it tries, with the side quests, but still it just didn't feel the same","3 people found this helpful."
"Josh","a year ago","Amazing game. One of the best games of recent that I have played for sure. I didn't know what to expect coming into this game because I didn't have the best experiences with most metroidvania style games. But this game was extremely fun, has an amazing story, fun boss fights, puzzles and so much more to dive in to while exploring the vast map they give us. Highly recommend to anyone looking for a fun game to playthrough!","1 person found this helpful."
"Jordan G","8 months ago","I am a big fan of the prince of persia series I have played all of the games wether it is the original, the 3D ones ps2/Xbox or the psp ones.

Many of these games were excellent with a few being straight out masterpieces like two thrones , prince of persia (reboot) or simply the original.

I am someone that judges a game whitin the first level. I feel like a game that does not make me excited whether it is with gameplay stories or visuals within the first ""level"" is not worth playing and to be fair I end up being usually right.

So prince of perisa this time around pleasantly surprised me with a strong opening. A first level that made me feel quite badass, and a smooth gameplay that was just overall fun.

The gameplay reminded me quite a lot of the prince of persia forgotten sands on psp which was in my opinion a excellent game.

The game is quite easy and is pretty far from the ideology of the die and retry that the original game had. 

This is not necessarily something bad as to me the feeling ubisoft always brought to their older games was the feeling of being badass and overpowered being able to mow down dozen of enemies. Something they lost nowadays to pursue a more soul like and rpg approch. 

Something that I think should not be the main focus of an assasins creed game or in this case a prince of persia game.

my general point of view is that while I was very septic of a revival of the series I was excited and have so far not being disappointed with the result.

Well done ubisoft, this is the kind of games I have been waiting for. 
This ubisoft is the path to a better success of all your games.
Reflect on your past games, identify why they were the cream of the cream and reproduce that.

I remember buying ubisoft games and always link them to a quality certification. I want to feel that way again.
I believe this company can find their golden age back.","Was this review helpful to you?"
"Jason Dismukes","a year ago","This game is everything I was hoping to be and more! The fluidity of the game play is nothing more than outstanding! Especially on the Switch console. Easily one of the best purchases I have made on this system. Tremendous effort by Ubisoft for even attempting at revitalizing a very old series, which of course they have done! This is bay far my favorite 2D side scrolling metroidvania game!","Was this review helpful to you?"
"Nick Bishop","a year ago","Great game on a surface level. 

Controls are fairly smooth. The combat against smaller mobs is very fun, and has great challenge scale depending on dodge vs parrying. I've found most bosses seem to round down to; dodge or parry, basic attack, anthra attack, repeat. Fun but not much variety.

Story is... okay? Honestly... the VA killed it for me. I have to say this is possibly the worse VA I've had to suffer through. I've found myself skipping 99% of the dialogue, so I guess the story could be good, I just don't care. Also, the (not so) little tid bits gathered around the world are painfully long and frankly, boring. 

Graphics and art style are great. I have no real opinion. They're done well and nothing really stands out as awesome nor amateur.

Overall I would recommend this game to anyone. I definitely wouldn't give this a 5 star review and honestly 4 is generous but if this game goes on sale I think it's a good time.","Was this review helpful to you?"
"Dhia Rezki Rohaizad","10 months ago","Honestly, this game was really, really fun to play. I didn't know what to expect from a side-scroller game like this, but it really did surpass my expectations. I played Hollow Knight and really enjoyed the exploration aspect of that game along with its unique design and gameplay. I would say Prince of Persia: The Lost Crown brought a similar feeling but to an elevated extent. The combat was really, reallly, really enjoyable, and the platforming was challenging but gurrrrl, was it rewarding. 10/10 would recommend.","Was this review helpful to you?"
"Srikrishna Manne","a year ago","I wasn’t really excited about this game when I started playing, but after half an hour, I couldn’t put the controller down. This is honestly one of the better games on my Switch and I can’t wait for a sequel. Since it looks so clean on the Switch, it must be amazing on all other platform. This game is a great gift for anyone who likes Metroid, Kirby, or any exploration game. 100% recommend.","2 people found this helpful."
"Ali Zonoozi","6 months ago","As a fan of the OG prince Persia game and also someone with Persian background, I was pretty reluctant to buy this game since I feared it would ruin my memories of the old game and had low expectations. But boy was I wrong. 
The Ubisoft nailed it with the gameplay and telling of Persian mythology in this game. The graphics are nothing crazy and I think it could be better but the animations are super nice and the scene background and the whole environment reminded me of the original prince of Persia game and created dejavu moments. The map is quite big and the boss fights are manageable when you get the hang of it. 
I also appreciated the Persian voice dubbing but it just became repetitive and weird after some point for me so I had to switch to English.
Overall I suggest that you lower your expectation so you can enjoy the game more like me.","1 person found this helpful."
"John Weed","a year ago","Prince of Persia is back in another game Lost Crown.  Game play and attacks are smooth and fluid. BUT I won't be buying the game as it is 2D side scroller.  Took all the best aspects of the game and flattened it. Sorry it was so much better 3D as it placed you in the world that you became Sargon (even though it was a track runner). This is Wolfenstein in Persia.  Cut scenes are gorgeous in 3D why not the game? The demo is a good place to start to see if you like the game as it allows you to run through several fights. I was so looking forward to getting my hands on this .Just not for me - don't care (take me back to 1990s). I am also bummed that there isn't any SANDS OF TIME effects (not sure why as you are picking up  TIME SHARDS throughout the game) why would you take a great game like POP and deficate on the franchise? You could have called it something else or just LOST CROWN and started a new franchise","13 people found this helpful."
"Beau Sierens","a year ago","As a Metroidvania fan, I love this game.  At it's core, tt is as good a triple A iteration to genre as there has been in a long time.  However, in the early days of release there are some serious glitches as you work through the game.  There is one where you inexplicably get stuck in a room because the door closes after you enter and won't reopen.  Luckily restarting from a save fixed it for me.  When exploring the western part of the map (around 2/3 completion) the game inexplicably replayed the intro cinema when I got back to that landmark in the game.  Now, I am facing the boss Orom and twice I have defeated him only to have his body freeze on the ground in some glitched state and I cannot get past this point of the game.  This would be an easy 5 star game for me without the glitches.  Fix it, UbiSoft!","Was this review helpful to you?"
"Eleonora Volante (Ele/Leo)","a month ago","the art, the story and the combat are incredible, but the exploration is basically the main part of the game and it's almost unbearable. really? manual save? If I'm playing the new prince of persia I expect at least an auto save, yk? to save those 5 hours lost in trying to get back where you were? and the quick travel is basically useless except for some times doing the main mission where the next mission would be in the opposite part of the map just to make you walk a bit, since you never do in this game, yk?
Also getting to the main objectives is ridiculously hard, you find a way? but that's the wrong way!! thats how you come out of the puzzle! you have to redo all the things you've just done to go through all the long way to get back there without dying or you'll loose all the progress you've done!! it makes no sense, it's just annoying. 
the mobs are so interesting but you can't expect me to go through a 5 wave of elite enemies just to accidentally go the wrong way, come back and have to do it again because of the room reset. Isn't this supposed to be new?? it has all the major issues the first ones had but this time is worse and completely on purpose.
It's not even about the game being too difficult, it's really not, it's just unbearable and extremely overwhelming (at least for me), I loved it so far but I'm afraid I won't finish it, I don't have the time for redoing the same shit 8 times just because a single bullet of venom or fire hit me and now it will never stop, also while fighting another 3 enemies, dodging spikes on tiny time platforms, doing a puzzle and a quick time event. I'm sorry this is just too much.
If I wanted the issues of a 90s game I would play a game from the 90s.","Was this review helpful to you?"
"Colter Tucker","a year ago","After the hype surrounding this game, I went in with high expectations. I knew I would like this game, since metroidvanias are my favorite genre of games. However, my expectations have been exceeded still. 

Ubisoft deserves credit for this game. They carefully studied what makes metroidvanias popular and successful, put their own spin on it and delivered a stellar product. 

Please pick up this game. Help make this a commercial success to communicate that this is what we want going forward!","2 people found this helpful."
