"FmcO7b","vWB2ve","T7nuU 2","gjvCCd"
"Stacy Bouvy","5 months ago","Everything about this game is what I've been waiting for! Since we heard this game was going to come out, we have been waiting on bated breath that this game is as good as the trailer, and it did not disappoint. From the musical score to the imagery, to the story and the gameplay and let's not forget, it is Atlus so it has a mash up of SMT and Persona. If you are on the fence, just jump. This game is worth the money and them some. If you're a die hard fan of the Persona or SMT,  Metaphor will blow your mind. Amazing game. I'm playing slow so it never ends!","12 people found this helpful."
"K Starks","3 months ago","Super niche game.

Like the persona games there’s some philosophical theories being examined in this game. If persona 5 was a critique on one’s role in society, Metaphor is a critique on who we choose as leaders of that society. Persona 5 has it easy. You are the fun rebel. Society is broken, but you never have to try answer how it should be fixed. Metaphor delves into what makes a good ruler, but it never really answers that question well. It gives bad examples that any young adult should be able to recognize. Its characters are only tools help answer that question. This is probably what hurts the story the most. It makes them feel less human and more like “Archetypes” in a story. I don’t think that’s a horrible thing, but it’s worth dropping the score half a star. 

I guess my only other complaint is the dungeon design gets pretty weak as the game progresses. People may complain that it’s repetitive, but I think MP management is more of where the game challenges you. Especially on the more difficult game settings.

Music is awesome. They went for a theme and it’s consistent all the way through. If you love the intro music, you’ll probably like the whole soundtrack. Voice acting is tight. I’ve only heard the JP VAs though.","2 people found this helpful."
"Mark Herbison","3 months ago","I'm not normally one to leave Google reviews on games, but this one deserves it, at least so far as I'm only 6 hours of gameplay in. I'm not typically a fan of JRPG or turn based combat, but I'm having so much fun with this game. It's like playing through an amine as it's main character. There is a lot of story and you control the responses your character gives. When I'm not in gameplay I just set it to auto advance and sit back and enjoy the story. I'm playing on normal difficulty and it seems easy at first but as you progress you actually have to put some thought into your tactics. Keep in mind you will be seeing the controller down a lot and just listening, this definitely isn't a game for everybody.","1 person found this helpful."
"Se Lu","5 months ago","I’ve always been impressed by Atlus and their games, but oh my god METAPHOR IS SO GOOD!! The story is so captivating and feels so fresh, in a time where so many games fall flat nowadays, or finding a good game is really difficult. This game takes so much inspirations from past Atlus projects, and manages to build a world that makes you crave to learn more. If you enjoyed Persona or enjoy turn based rpgs or enjoy a good story, PLAY THIS GAME!!!","6 people found this helpful."
"Jlm","a day ago","Not worth the price. There's too much pointless dialog. You will be riding on a ship and a cutscene happens where the pilot says ""Hey, there's a cool tree! Let's stop here"" and then the narrator says ""The party found a cool tree and decided to stop here."" There are times when the characters have a discussion about their plan and say ""Let's go do the mission!"" and it cuts out and back into more talking about the plan that they just talked about
  The difficulty is foolish. I started on hard, got my butt kicked by a boss in a cave so I went to normal and then the boss was simple. I went back to hard for the monster baby dungeon in the 2nd city but it still felt easy after leveling up. Speaking of the monster baby, there is a stealth segment in the middle of the dungeon were you have to fight the baby if it catches you and it is nearly impossible to kill. The stealth segment is super simple and i only got caught to try and fight the baby, but it was too much, so I figured that this fight would happen later in the game when i was stronger... NOPE! The baby was the boss at the end of the same dungeon and it was much easier this time with no explanation for why. That is PATHETIC game design!
  I bought this for ps5 on sale and still overpayed. I can't imagine spending $70 on this! Graphics are cheaper than ps3 games. Music is average. Gameplay is fun in the rare times that you get to play. I would talk about the gameplay more but it isn't the main feature of this product","Was this review helpful to you?"
"Plague Doctor","3 months ago","In time when devs shit down throat of gamers, a born a classic and fresh air from woke agenda issues. Metaphor has story focused that unlike failgaurd. It's up there as great games and storyline, like zenoblade, star ocean, and of course th persona series. Awesome games start to finish. Plus there's new game plus, to keep fans busy after beating the game. Keeping this game alive until a Sequel is made. Just how all rpgs should made. FYI if it's an rpg, but don't have ngplus, automatically your loses three stars. To other devs other game companies, Don't be stupid have npgplus as a standard.  I will not even look at your game. Take notes from Metaphor refantazio, it's a goty contender after.","1 person found this helpful."
"playamcnugee games","5 months ago","This game made me laugh, it made me cry, it made me mad, it told a story about despite politics, religion, race, etc. we’re all still people, and we can all do some great things in our own way. Hell even the gameplay does this by making it so you rely on others to outweigh your own shortcomings. It showed that even some vile people have a heart and desire a better world, or have good reason to despise it. This does everything it set out to do and more. Give this game a shot even if you didn’t like persona, because whilst it happens to share similarities, this game is something else entirely in my opinion. Great work Atlus!!! Much love!!! ❤️❤️❤️❤️❤️","7 people found this helpful."
"Lother Avanti","4 months ago","It's not as good as Persona 5. I don't know what Atlus were thinking. 

NG+ Spoilers:
.
.
.
.
.
.

To not be able to have the Prince Archetype unlocked from the start? That's just a really bad decision. Locking everything until your unlock them again is also a crap move. 

I want to run my party with Critical Resist and COMPLETE ailment resist abilities, but those are tied to endgame Archetypes.

Not transferring Stat boosts is also a major no no. In Persona games this would carry over, not here though. It's like they forgot what made NG+ fun in those.

I can start Regicide difficulty only on NG+, so it's already pretty much trivialized.

Also they kept the BS mechanic of getting One-Shotted by the 2 hardest bosses in the game if you have any repel armor. It's not as bad as grinding like an idiot to max stats for the active party to fight Elizabeth, only to find you can only fight her as the MC.

One final note: I take offense at the translator who decided to name the Knight Lady ""Hulkenberg"", yeah, we get it. Don't think Atlus realize what their localization teams are inserting into their games. This was really on the nose.","5 people found this helpful."
"Nate Hancock","5 months ago","Woke game, first ability you get is called DEI. 












No but seriously this game is absolutely a classic and an excellent jrpg and shows how so refined and beautiful tuned Atlas teams have made their system. It is well deserving of the the love and attention and arguably the best JRPG from the publisher to date, the devs did such a great job definitely feels like there was an all-star team at play for this magic to happen. Well done.","6 people found this helpful."
"Connor - Axel Heating","4 months ago","Top 3 best stories I've ever played. Some aspects could do with polishing,  either completely remove the need to grind, or provide more specific areas to grind.  I was under levelled at one point and it was a slow painful progress of dungeons, my own doing trying to boost wisdom etc instead of bounties. Grinded in a tower to level up for few hours and I suddenly could go through the missions etc with a bit more ease.  But wow the story, ive not even completed it but the chandelier moment.. wow. Dlc please!","3 people found this helpful."
"Lancelot Of grassy Hill","3 months ago","Game is really dated, and not in a good way. Graphics are a cell shaded busy nightmare with constant little magic particles floating around everywhere. Although I will say the game feels modernized with its awful pacing. For every 5 seconds you spend actually engaging with the game by running around, combat, or picking really contrived dialog options, you get a solid 4-10 minutes of low quality anime cut scenes or monotonous circular dialog. This game is a chore and I'm glad I didn't pay full price, but if you're not a fan of this niche genre studios games, I doubt this ""GOTY contender"" is going to win you over if you're over the age of 12. It's a 30 hour interactive cartoon with about 10 hours of action adventure gameplay (it's not an RPG by any serious stretch).","5 people found this helpful."
"HJ Yang","2 months ago","It was fun until the final fight with Louis. I had Prince, Royal Knight, Saviour and General, also tried a few different party. Only had enough MAG and hero resources to get one royal team mate.

The final battles only served to make me regret all the MAG I've spent and exchanged for money to buy gear, regret all the baths I've taken and the books I've read instead of building relationships with my team mates. Why did I bother to explore the world when it won't serve me in the final battles? I don't want to replay the game just to prep myself for the final battles.

Why did Louis need 6+4 turn icons when he could wipe out half the team in 2 turns and slowly kill the remaining two members in 4 turns or less? I switched to storytelling mode and observed how Louis spammed MP and my side keep reviving. Both sides cheated equally. It takes the fun out of strategy games even if it's turn-based strategy. BTW, Louis would evade your attacks when he's down to last drop of HP, even AFTER you've debuffed his stats. Such a nice trick to make players panic, losing all turn icons and hand over your remaining HP to his 6+4 turn icons.

There's a trend ever since Dark Souls games to make battles unrealistically difficult, just to make people drill, like slaves to the game. I'm not playing just to train muscle memory for a specific game. This takes the fun out of playing when you can't get out of drilling.","Was this review helpful to you?"
"Kyle Rearick","5 months ago","Possibly one of the best games atlus has put out so far, the story, the gameplay everything about this game is GOTY material. Over 1 million units sold within a single day. This game is possibley the best game of the year. And I am having so much fun with the game. So far as this review is being posted I've clocked 12 hours into the game. And I can say, it already is one of my all-time favorite games by far","7 people found this helpful."
"Xander de Ocampo","3 months ago","Metaphor refantazio is a masterpiece and a well made game of art. This game is well made full of characters that join your party and is great about the game to is the music. The music of this game is well made and is perfect that goes hard and this game is a well made game for 2024 since persona 5 and the bosses of this game are also good the bosses are very detailed and is sacry sometimes to like the baby boss for example is sacry. This game also has a lot of side quests that are cool and fun you get money for weapons and potions which I like about this game and yes this game is 10/10 game perfect game for persona players 😆 🤣 😃 😊","2 people found this helpful."
"Stuart Halverson","5 months ago","Finished the demo in around 6 hours. There was about 30 minutes of actual game play. This is more like an interactive novel than a game. It takes time to tell you all the story instead of you putting it together through game play. The story is very intriguing, but it doesn't feel like a game. If they just made this an anime series I would watch it for sure. 6 hours is just the prologue and there obviously so much more, but the fact I got 30 minutes of actual fighting and exploring has me ready to move on to other JRPGs & RPGs. It is just not for me.","4 people found this helpful."
"Angielo","5 months ago","I have never played any Persona games, but have played turn based RPG games before. The overwhelming positive reviews have lead me to believe that this is a great game to dive in first as an introduction to Altus games. Sadly, I think these reviews are from niche gamers who love this genre, and it doesn't really bring anything new to the table. I can't help but notice that I spend more time reading dialogues than actually playing. This game does feel like a movie, but a long, slow cooking one. It is enjoyable for the part that I actually get to play, and the characters are interesting, but that's it. I almost feel like I'm in the sea, and just getting dragged by the waves in this game. Areas horrible have horrible designs as well (my God, that 2nd dessert area was horrible). Dialogues and choices are not as powerful in this game as compared to BG3, and that is why I'm not gonna hold this game as to the same level as that. Not a GOTY.","16 people found this helpful."
"AJ Chapman","2 months ago","Very fun game, makes me feel nostalgic for some JRPGs I enjoyed in my youth. I think I say this because the graphics look a bit dated. Harsh to say but since this is a larger game studio they can afford to spend some money to update the textures and make the game more modern. You get used to it after a bit though and the 2D animated cutscenes shine more when they do pop up. I don't have a problem with the pacing since I prefer long games, so expect to spend 100 hours minimum. My only other gripe is that I wish there were more voice acted cutscenes.","Was this review helpful to you?"
"Shane Hutto","5 months ago","Has that same persona charm packed full with a whole new world and fresh feeling. 

Could be a top 5 game all time for me personally. Loving the story, the game play, and the fantasy world. 

It's like an old school ""Epic"" a big and sprawling world, with a ton of things to do. 

Really do not have any true criticism. It's 10/10 for me.","7 people found this helpful."
"Ben Turner","3 months ago","Best game I have ever played. Amazing story, graphics, replay-ability, and the creative aspect from start to finish.

I highly recommend this to anybody even if you are not a fan of RPGs or strategy, still give it a shot because it can make you fall in love with the genre and makes you want to play even more.","1 person found this helpful."
"Kalan Beal","3 months ago","life-changing game (at least for me personally). such an incredible story that motivates me to do the right thing and help others in my own personal life.  beyond that it's a top teir turn-based jrpg just like any mainline megami tensei game.
love it and highly recomend to anyone with the time to absorb this wonderful story","Was this review helpful to you?"
"Patricia Marin","a month ago","I can't stop crying now that just finished it. What are masterpiece. I have no words. Thank you to those who created it. The soundtrack is beyond powerful. It matches the power of the game so well. I wish I could personally hug everyone who took part in its creation 😅 thank you!","1 person found this helpful."
"Carlo","3 weeks ago","I'm an Atlus and Persona fan, but for some reason a lot of the underlying messages were too on the nose. Also it lacked a lot of the charm of their previous games and I didn't form any attachment to any of the characters. It's pretty boring. The music from Persona 5 was a masterpiece! I actually bought the soundtracks! Persona 5 had me caring for nearly every character with their heartfelt stories. I really don't understand how metaphor got such high reviews. This was a massive disappointment after having experienced peak atlus in the form of person 5. I'd have to say this is one of my least favourite atlus titles overall. But it's still playable, just pales in comparison to their previous titles.","Was this review helpful to you?"
"Kendral Hunt","5 months ago","must say this is the second best turn based game I've ever owned and played.This game nails it in the fantasy atmosphere of being very similar to the persona series.from the archetypes from which the seekers can turn into to overall gameplay experience this game is a keeper. this is one of my top 10 new favorite games.Im glad that I preordered this and DBZ sparking zero ultimate edition.","5 people found this helpful."
"Ronald Lemuel","5 months ago","Honestly, super fun, the artwork is beautiful, the musical scenes, the sounds and bustle of the towns. The reimagination of paintings from decades past is beautiful, and the story is perfect. If you like Atlus games, you'll love this. Even if you aren't the type of person who enjoys a story heavy game, the combat and classes are extremely fun as well!","3 people found this helpful."
"Roxx","4 months ago","Honestly, I gave it a fair chance. I played about 20 hours, and then just became bored. I've played persona 4, 5, and 3 reload. I really liked them. Metaphor Refantazio is pretty decent, but I think the story was just mediocre. It was interesting at first, but after the third dungeon, it starts to feel like they added a bunch of fillers. The social links don't seem as in depth as the persona series. I didn't feel as interested in the archetypes as I was with collecting persona and fusing them. Some of the characters are cool, but I feel they don't get as developed as characters in the persona series. I actually don't like turn based games, but persona series got me hooked with the story, humor, and combat/persona catching. Overall, metaphor refantazio is a good game, and I got it for 20 bucks so no regrets. But it's definitely not going to satisfy anyone looking for kind of like the future persona 6.","4 people found this helpful."
"Stephen John Cook","4 months ago","Surprisingly loving this ATM. At first thought this is a sad departure from the usual antics of persona but this is quite the evolution. Different topics different battle strategies. Twist and turns in the story keeps it from being too repetitive. 30hrs in and curious what else is still to come!","1 person found this helpful."
"Marine Paingarden","4 months ago","It's good, indeed. But i think it's a bit too overhyped. 
Some scenes are a bit too rushed like a certain first character's death, and then some key point is sometimes missed.
Also I was expecting music but it's also 8-9/10 and nothing outstanding.

Still, I appreciate this game so very much because with recent trend, 
we rarely have adventure themed turn based game.","2 people found this helpful."
"Keith","5 months ago","This year has been absolutely incredible for JRPG fans. We got Granblue Fantasy: Relink in January, Persona 3 Reload and FF7 Rebirth in February, Unicorn Overlord in March, Eiyuden Chronicles in April, and several other solid offerings. Metaphor ReFantazio stands above the rest though and I say that as a massive Final Fantasy VII fan.","5 people found this helpful."
"James B","4 months ago","Very well done JRPG, the time system keeps it fresh, the art style & music are great, from menu UI to character design they keep it interesting. 
Engaging story & a nice blend of action and turn based combat, good pacing. 10/10.","1 person found this helpful."
"Uyen Le","5 months ago","Amazing game. The story is so beautiful and well-written. It's a dark fantasy where you ain't a high schooler saving the world. I love this new dark medieval take. I hope there is a sequel in the future!","6 people found this helpful."
"Elliot T","2 months ago","The gameplay was repetitive. Fighting mechanics feel standard turn based jrpg. The leveling system is very well done; I have to admit. 

As for the story ... Meh. These characters sometimes talk nonstop and often without saying anything new. I never once felt surprised or stimulated by the story's turns. I picked the game up mainly because I had heard the story was amazing and it absolutely is not.","1 person found this helpful."
"Gabriel Lung","a day ago","Greatest JRPG of all time. Fantastic story, premise and plot that is very well written. The lore is amazing. Magical soundtracks, perfect cast and the artstyle blows my mind. The combat and gameplay is just peak.
10/10","Was this review helpful to you?"
"Rae P Williams","3 months ago","Spoilers.....




Are you kidding me?? You put a dragon in the first few hours of the game and I beat it, only ro get a nice sword. So I equip that sword to a companion only for you to kill them off still in first couple hours of the game and you don't put the sword into my inventory..... wtf I mean it's decent story but come on how was I supposed to know to unequip it from him before you took him away.... this is really annoying. Good game but this really ticks me off.","Was this review helpful to you?"
"Jeff","4 months ago","Definitely got me hooked. I loved Persona 4 and 5, this one has me even more invested. A pinnacle of JRPGs, you have to experience it to understand. Definitely try the demo, it only gets better and better.","1 person found this helpful."
"Dan Wiley","5 months ago","It's a ps2 game. The art style and music are great. What a giant slog though. Repetitive as all hell. They should have made an anime, this game is basically on tracks. I played the demo and really enjoyed it. Now, after play a few hours of the game, oof. What a pos.","12 people found this helpful."
"Isa","5 months ago","Yeah it’s good just solider through the first 2 hours. It’s a copy paste RPG that I’m playing through just for the loot and story. If you’ve played persona it’s more of that but with a good story and a handful of new mechanics + quality of life optimizations. 

It’s a good game, just don’t expect a gaming revolution with this one. Also idk if the graphics are any different on PS5-4","1 person found this helpful."
"Michael Rowe","4 months ago","I thought FF7 rebirth is GOTY, Metaphor: Refantazio is making me think hard about that decision.
Up to the standard of Persona 5 and in my eyes, it's slightly better. 
Definitely a buy for JRPG fans.","1 person found this helpful."
"Max D","2 months ago","I can't remember the last time I played a game that put me in such a trance. The worldbuilding, characters, soundtrack, gameplay, story, everything is just so perfect. You will not regret trying this out!","Was this review helpful to you?"
"Eric Ougel","2 months ago","oddly the first 4 hours bored me to death but gosh the game really picked up after you got the runner, found the second town and fast travel opened up. the visuals are stunning and the odd choices of music make this a work of art
à","Was this review helpful to you?"
"Hudson Meador","5 months ago","Everything I've wanted from a Persona game and more... It's stylish like Persona5 but borrows mechanics from SMT. The message is honest and direct. I can't wait to play more!","Was this review helpful to you?"
"Ethan Nguyen","3 months ago","A masterpiece of storytelling & worldbuilding with amazing characters and great turn-based combat. Metaphor: ReFantazio is an experience that will stay with me my entire life. 10/10.","Was this review helpful to you?"
"Joseph Noziska","4 months ago","I think it's a very good game for what it is=lantus does a very good job on on their games persona series I like role-playing games 9 out of 10 thumbs up I'm level 60 in the game it has a very good story I like the gameplay my dislikes is a lot of talking but it has a lot of action in it for a game has role-playing concept to it the series that they want","Was this review helpful to you?"
"Blake Douglas","4 months ago","This is absolutely my favorite game of all time. Could only be better if armor was visually seen when changed. But 90 hrs and completing, it's definitely worth it.","Was this review helpful to you?"
"Ricky G","2 months ago","Its a good solid jrpg. I wasnt a fan of the character models and i found the plot fairly predictable. The backgrounds get a little better as you traverse through the world. To me it was kind of like a mix of xenoblade and persona.","Was this review helpful to you?"
"Marcos","a week ago","The game is dope, especially if you're a fan of RPG, from the music to the storyline, everything is 10/10. FF is still my all time fav but this is up there in my top 5.","Was this review helpful to you?"
"Flo L (Scientist)","5 months ago","Really fun game from the Persona devs. 
The ost is fire, the characters are interesting, great story
I'm a huge fan of the Jp Va cast a lot of them do Va for Anime","3 people found this helpful."
"Jude Apollo Maaba","3 months ago","Gameplay and graphics is good... But what we love with SMT and Persona series is the open world sandbox  kind of play... This has potential but missed on it","Was this review helpful to you?"
"Wangchung21","5 months ago","Amazing presentation and story by Atlus. The characters and combat are also highlights. Metaphor is original and just what the gaming market needed ITS A MUST PLAY FOR JRPG FANS","3 people found this helpful."
