"FmcO7b","vWB2ve","T7nuU 2","gjvCCd"
"Steve L (slad-81)","10 months ago","Holy smokes! This game is next level. Unbelievable single player experience so far. The pacing of this game is much more mature than Hellblade 1. I love the setting and the atmosphere is much darker with Senua not only battling hell but humans too. Part 2 doesn't really go through a tutorial for combat, you have to figure it out on your own, if you haven't played the first part so I highly recommend playing Senua's Sacrifice first. But it's pretty simple to figure out. I could only play this game at 1080p high/medium settings 70fps + for my liking so the game is definitely pushing my rig. You'll need a 3080 card minimum to play at 1440p high. Really dig this new game when I thought single player experience was almost dead. Ninja Theory proved me wrong on that one haha 😅.","20 people found this helpful."
"Kale Laurie","10 months ago","I’m extremely grateful that we finally got a sequel to one of my favorite games of all time, BUT it barely feels like the same game. A major emphasis on adventure replaces the potential for quality combat sequences in favor of fairly mediocre puzzles. Luckily, they aren’t too mind numbing; mainly because they typically utilize the environment containing stunning graphics. Yet they certainly fall short of exceptional entertainment. For a series titled HellBLADE, there is much irony in my sword remaining sheathed. The story is good; however, only dabbles in greatness for brief periods of an already short duration. I’m not overly distraught about a restrained runtime; but when blandness creeps throughout the larger portions of play, it ends up a tad disappointing. Especially when an abundance of cutscenes overtake gameplay for merely alright dialogue. Countless times I couldn’t figure out if a cinematic had hijacked my controls or when it would reinitiate them.

If we get to see Senua again, I really hope Ninja Theory can redeem themselves even if this is a solid entry,","2 people found this helpful."
"james wilson","9 months ago","Senua’s Saga: Hellblade II is a deep, immersive, and emotional journey that transcends your everyday video game it is an absolute cinematic masterpiece 👏 The experience ultimately teaches you to forgive, make peace with your past and move forward by accepting yourself wholeheartedly. A true masterpiece. 9/10, Senua's sacrifice hooked us with such a heartbreaking and dark storyline, carrying her dead lovers head on her waist and travelling to hell to bring him back.
It was so deeply heartfelt, petrifying, and heartbreaking. While keeping the same themes, grief, loss, heartache, and rage. They've shown us what happens after. What comes next is the promise Senua made. It was an absolute pleasure to play this game","1 person found this helpful."
"Richard Sweeting","9 months ago","The Graphics in this game are the only jem you will leave with. It is a gorgeous and nominally interactive showcase of what UE5 can do and will thusly be used as a showcase going forward. This is not a game people will hold dearly in their hearts for years let alone decades.
This is a one and done experience and for those without clouded vision will want those 5-8 hours back bc once past the initial spectacle, Hellblade 2 is a bare bones experience that borrows from its predecessor  in some ways, back tracks in others and genuinely screws up what the original title stood for by going overboard on elements that should be subtle.
The story has little weight and the diologue no real meaning. Leaving a sensible player with no connection  to the protagonist and the characters you meet.
The combat is literally cut n paste and has little meaning to each swipe whether heavy or light its just a numbers game. Couple that with Enemies that may look different but are very much the same encounter each time, and your left with a lot of repetition.
75% of this game is spent walking with no environmental interaction or things to find. It's text book beautiful emptiness. I can't  reccomend to be honest. It's just one of those games you show off with only they are usually good all around. Other games like this have just done a much better job like The Order 1886. Which people have to re review after this has done as well as it has in reviews","13 people found this helpful."
"Robert Tucker","10 months ago","This game truly gave me goosebumps all the way through, It was an amazing insight to what severe mental illness can really be and definitely makes me think. Whilst the game is fairly linear it's visuals keeps you locked in and invested in what's coming next. The motion capture and voice acting of Senua is next level and truly levels above other games. The combat feels so rewarding and it really feels like it has weight and flow. I was looking forward to facing the final giant but the twist was really cool too. Fingers crossed for Hellblade 3.","9 people found this helpful."
"Owen Blake","10 months ago","First of all I want to refute a lot of the big headlines saying that this game is 4-5 hours long. This is false if you are actually playing and engaging in the story. It would take you 4-5 hours if you just held down sprint through everything, skipped story beats, collectables and played on easy. I spent roughly 10-11 hours to complete the game's main story with a total completion of roughly 70%. Don't just read the headlines. 

I played the first Hellblade and this one was far more challenging in combat despite only taking on one enemy at a time. With combat sequences being 1v1s they were more curated and extremely fluid and cinematic. The animations are perfect and very satisfying. 

The graphics speak for themselves. Anybody with eyes can see that this game doesn't lack in that department. 

As for bugs... Well there were absolutely none throughout my entire play through. It's an amazing technical achievement to have a game of this quality so polished. Also I want to add this games loading is bare to none with the only loading screen being when you load up your save and the entirety of the game doesn't have a single loading screen. I also have to say the music is great. At point I questioned if Hanz Zimmer had helped make some tracks.

This is my personal GOTY and I'd give it a very solid 9/10. Only criticisms are that I'd like there to be a little more combat or the combat sequences to last a little longer like a couple enemies or maybe fighting one or two enemies with one of the other characters together to mix it up, but I'd feel that be a bit nitpicky. Maybe the puzzles could be a little more complicated like the first game. 

It's a must play, especially if you have game pass. If you're not a fan that's okay it's not for you. It hasn't well connected well with many people as it's a very story driven game. However, I'd argue they simply just don't appreciate the story aspect of the game.","5 people found this helpful."
"Chris D","10 months ago","Amazing game, graphics are spectacular, story is so good it's the first game in a few years that's made me turn off anything I was listening to in the background to give it my full attention. Did notice the removal of the block break, not completed it yet so may return just seems odd to remove it after it being so heavily used in the first one but the fighting has increased in complexity which I love as by the end of the first game I was on the highest difficulty and just found the fights too easy so I am glad they improved that area. I have been waiting for the game since I seen the first trailer in 2020 but after playing it I'm happy with the wait because its the first game of the year I've played that's came out with no bugs (so far) which has to be the rarest thing in modern gaming.

But 11/10, Hope there's a third","15 people found this helpful."
"Paul K","10 months ago","I've just completed Hellblade II and to be honest there is a little bit of disappointment. Ever since playing the first game I have eagerly been waiting for a 2nd instalment, I don't think I've ever been so excited about a new game coming out. My disappointment lies in that after waiting so long, it's over so quickly, it's almost over before it even begins.

Having said that......it's one of the best games I ever experienced, I'd call it an experience rather than playing a game. The level of detail is just incredible, I found myself looking down at the ripples in puddles and small stones on the ground in awe! It's like nothing I've ever seen before in a game. 
The combat is tricky, but not hard, you do feel that Senua is scraping through these fights, which are brutal in their nature. Full admiration for Melina for learning combat moves like that!
The sound is amazing too, headphones are a must, don't even bother without them, you won't get the full experience. The sound of the rain, walking on gravel, the waves, it's all so authentic.

If you play games for the explosions, action and kill count, this won't be for you. It's a work of art, a masterpiece that needs to be appreciated for the incredible amount of research and work that has gone into it. I'd recommend watching the development videos on YouTube to see the effort that went into making it. 
The trauma Senua experiences is terrifying and really opens your eyes to the affliction real people live with daily.

Ninja Theory are a one of a kind developer, nobody else would have had the passion and dedication to pull this off. Thank you for the experience.","5 people found this helpful."
"Matthew Heinrich","10 months ago","Pretty good game. I don’t like how the game is always in “cinematic” mode where my screen is forced to display in a wide perspective. This cuts my screen vision in the game by a third which is crazy because the environment is amazing to look at. Wish there was an option to have the game display on the entire screen. 

There’s also some minor level design decisions that I have found off-putting so far though. 

*Minor Spoilers Ahead*
Like in the beginning, there’s a crashed boat on the shore you have to climb under. There’s this whole sequence of the main character climbing through the boat wreckage so she could reach the other side. When I emerged out of the boat, I look to the left and see this small pile of rocks that the main character could easily climb over, however, there’s an invisible wall blocking the her from taking this more reasonable route to get around the boat. 

Level design decisions like this makes me think the main character is a self-inflicted masochist. She secretly doesn’t want to live anymore so she purposely takes the most difficult routes possible to reach her destinations. If this was the character quality the writers were going for, then I say bravo.","15 people found this helpful."
"Azwan Nazreensyah","10 months ago","I had an awesome time playing such a cinematic game. The unreal engine 5 graphic is jaw dropping. 
Yep, there's walking quite a lot, but having them visuals and sound through your headphones are immersive enough that i quite enjoyed those long walks at times. 
Although the story is quite short and the battle mechanics arent as deep as other typical modern games, it is a breath of fresh air to have that simple and straightforward combat. 
It's simple, yet it is making you at the edge of the seat at times as you have to really manage your timing. As real as it gets. 
This game doesn't deserve the hate of other fanboys, they're unfounded. Be open and you will have a good time. As a neutral, i can easily suggest this game.

By the way, i played it on my Series S. It was amazing. Can't see any lack in quality at all. Really puts other devs to shame if they say the Series S is dragging down games, they're just lazy to optimize it.","2 people found this helpful."
"Bradford Hordijk","10 months ago","It’s not so much a game as an audio-visual work of art. If you are expecting the former you’ll hate it but if you are fine with the latter you’re set. 

It is a worthy continuation of Senua’s story. No, it doesn’t play that much different and yes it has the same sort of puzzles although the Huldafolk level does it so well it feels refreshing.

Combat is more visceral and brutal and feels more serious this time. The first game had some combat scenes that were way too long and far too easy to get through.

I love seeing Senua’s further growth and the supporting cast is just great. The only question remains; are they real, figments of her imagination or superimposed thoughts on actual people?

So yes it is a continuation of the first one in many ways and its innovative in small but important ways. It seems to flow better than its predecessor and nowhere was I bored and felt I was just doing endless combat or endless puzzles.

Oh and the photo-mode is to die for. Very well done and it can even be used in cutscenes!","1 person found this helpful."
"Kirk Padilla","10 months ago","Im not sure why a lot of reviewers are saying this game is too short or too drawn out or has bad storytelling. I thought this game was awesome. I loved the first one, and this one was just as good. It’s MEANT to be a painful and grueling journey. You’re literally playing as a character that suffers from a tremendous mental affliction. Yes, a couple of the puzzles were a little annoying, but not difficult. But other than that, the combat felt nice, the game is an absolute visual stunner, especially if you enter photo mode. And there’s two more modes unlocked after you beat the game. One of those modes just features different narratives from other people as you play through, and I haven’t beaten it the second time yet, but even if the third locked mode gives you a narrative from the side of the darkness, then that pretty cool. Especially considering that the entire idea of the game is a battle with reality and perspective. I think they accomplished what they set out to do and made a truly visually stunning tale of torment and affliction. The game was an absolute banger. Period.","3 people found this helpful."
"Shanelle Avey","10 months ago","I'm almost done with the game. Been looking forward to it since the world premier and I am happy with what I've seen so far. It feels different than the first game, in mostly good ways but also some bad. 

Graphics, music, and audio are 11/10. 

Story, stunning. Interesting, twisting and very well written. Looking forward to finishing it here shortly. 

I think combat feels good, heavier and more impactful. But it's harder to fight across the board with the timing being hard to master. To be fair they did say that everything is intended to make you feel like Senua is just ""surviving"" and that goal was definitely met in my opinion. 

Love the addition of characters, they are pieces of a puzzle that you wouldn't quite expect. 

5/5 for this girl!

Ps SENUA IS A BAMF","2 people found this helpful."
"Mason Dunn","10 months ago","I typically don't go out of my way to do reviews, but my God what a game. The cinematics mended in to the game play is just beautiful. This game has it all.... adventure, beauty, screams, horror, action that kept me wanting to play. Make sure you have a really good headset so you can fully enjoy all of the sounds and voices that really draw you in to this game. Of course if you haven't yet, play the first Hellblade and you won't be near as lost in this one. This franchise has been one of my favorites and most enjoyable to play.","1 person found this helpful."
"Liam Bradbury Music","10 months ago","Weird game. Feels more like a graphical showcase than a game.

Good points:
* Amazing graphics 
* Music is excellent 
* Quite scary in places, psychological horror

Bad points:
* Large parts of the game are just walking in slow motion while dialogue plays. Either walking or climbing or crawling through narrow caves and you do it really slowly too.
* Puzzles are repetitive and simple 
* Only 7 hours long.

Gave it a 5 / 10 because although large parts are extremely boring - mainly walking from cutscene to cutscene, there is a brilliance about it. The excellent graphics certainly helps and the music adds to the moods well.

I should note that I only realised you can roll while fighting to avoid certain attacks 3/4's of the way through the game due to there being zero on screen display or tutorials.","5 people found this helpful."
"Kurt Zelasko","10 months ago","I’ve seen a lot of people express their disappointment in this game, and it paints this picture that people don’t really know what a video game is. 

A video game is an interactive digital media used as a form of entertainment. The first we get ahead in technology, the more we are able to tell a more polished and nuanced story. 

Hellblade 2 is an incredible example of this, foregoing a ton of “gameplay” as to put you behind the steering wheel of a narrative that really, plays itself. This game has a photo mode available at the press of a button, and every single inch of this game has plenty of opportunity you to take advantage of it. 

If you’re expecting a ton of combat, crazy boss fights… this game WILL disappoint you. But if you accept this game for what it is, rather than what you wanted  - a sensory filled, narrative driven experience- then you will absolutely love this beauty of a piece of media.

It’s out on gamepass, which is 20 dollars a month. You’ll beat it in a day or two, and you’ll go “man, that was something.” 

And that’ll be enough.","2 people found this helpful."
"babak Ranjbaran","8 months ago","If you like Fortnite, this game may not be suitable for your tastes. Senua's Saga: Hellblade II is a unique and immersive storytelling experience rather than traditional gaming. When I played the first game, I was thoroughly impressed, but the second game exceeded all my expectations. The combat sequences were expertly crafted, and the cinematography was simply breathtaking. Senua's character development has made her one of my all-time favorites.","Was this review helpful to you?"
"lee riley","10 months ago","THE most beautiful console game I've ever seen. Nothing comes close to the visuals in this game. It's not so much a game, it's an experience. And one that everyone should play at least once.

Everything from the acting to the soundtrack is on another level. The gameplay is very slight and I would of preferred more protracted, more frequent battles but as I said, it's an experience. More akin to a movie than a video game.

The battles are close, with four moves on offer, dodge, block, light attack, heavy attack., and the moves all feel grounded and weighty. You feel every block and strike. That being said the animations, although fluid and lifelike, are repeated and it's obvious to spot which detracts from the immersion. It's not open world and there are no choices to be made, which i would of loved as the story seems like there are choices but there's none, on rails with only one path to go.
It's far from perfect but it's one hell of an experience.","1 person found this helpful."
"Mark Walsh","9 months ago","This game is a master piece and I consider it to be one of the best games I've ever played. Certainly the best on this generation of consoles. If your looking for incredible graphics, amazing story telling then you're in for a treat. Some people complain about the combat in this game but for me personally I enjoyed it and found it challenging. Congratulations to Ninja Theory and everyone involved on such a stellar game. I hope we get more of this. 🙌","Was this review helpful to you?"
"Desiree Cameron","9 months ago","5 years of waiting for 5 hours of disappointing gameplay. Visually stunning but seems that's all they really put the effort into. The story is okay but doesn't even remotely seem to connect to the first what so ever and the parts that do are so jumbled and scattered throughout to try to add some sort of connection. Forced walking and drawn out cinematics, like unnecessarily long crawling through holes and squeezing through cracks or staring at the scenery for longer than necessary. Just an all around ridiculous amount of filler. Not to mention the copy and paste puzzles with a different look but the exact same layout. Newer enemies yet smaller one on one fights and as long as you dodge and land shots can kill most enemies in 5 hits. Really haven't been this disappointed for a drawn out game release since KOH4. This game could of had so much potential but may as well just been marketed as a playable movie.","10 people found this helpful."
"Nathan Minter","9 months ago","Anyone who doesn't appreciate the work that has gone into this game fails to see how amazing it is that games have come to this point and probably haven't been. Alive long enough to really see the full scope. The visuals in this game are amazing. All of the particles, effects, small details in the rock and landscape blow my mind. Love the way they tell this story. Makes me feel like I'm playing a movie. Amazing story telling!","1 person found this helpful."
"James S","10 months ago","Thoroughly enjoyed this game. The narrative and visuals were masterful. The combat was gritty and fluid. I absolutely love how the game makes every scene so cinematic & personal. The narrator gave me ASMR, though the psychosis was a bit much. Redemption arc’s were very satisfying. The puzzles were easier than the first game, but that’s okay, because I came for the story and combat. Favorite part? Matching your motion/ actions to the beat of the music - what a creative way to spin the combat and action sequences!

I highly recommend this series, and I’ll be looking forward to the next installment!","2 people found this helpful."
"Jeet Parikh","10 months ago","This game is the proof of the Technological Marvel. Perfectly Made, the details, the story, the Acting, THE GRAPHICS, STUNNING VISUAL. Its the perfect cinematic experience but in the form of a VIDEO GAME. Hellblade 1 was really good, but this right here is MARVELLOUS. 10/10 for me. Best game ever Made. And I AM saying this is GOTY right here. 
ALSO This game is not a horror game. Its dark and have some disturbing moments but its sort of an action/adventure, with Senua’s Psychosis giving her the motivation she needs and instantly doubting themselves the very next second🤣 Classic Hellblade Experience just like its prequel. Loved the ASMR obviously. 
100% RECOMMENED","1 person found this helpful."
"Jake Allen","9 months ago","I did not play the first game, im downloading it now after finishing the 2nd. This game is intense! Very well done and i highly recommend giving it a playthrough. I watched some negative reviews on youtube and thought it my duty to defend this game in what little way i can through this rating/review. I felt as if i was fighting for my life in almost every combat encounter and it could very well be the end of the journey. I will be playing this again","Was this review helpful to you?"
"Tony Silva","8 months ago","I just finished the game, and I truly loved the first one because I'm crazy about ancient peoples, ancient religions, Nordic paganism, Celtic people, and all that. I was truly expecting to play this game.

So, the first things, which are things I don't care much about, are graphics and gameplay. That's a 10/10 for the graphics; the quality of the graphics is insane. They are better than the first one, which was already amazing. Now, the gameplay doesn't change much, but it is enjoyable. I like the combat system, but I hated the puzzles since the first one. The gameplay can get, and probably will get, repetitive. That's a 5/10.

The soundtrack is cool, could have been better. They had this amazing band called Heilung doing the songs, and if you know Heilung, you know what they can do. It's a 7/10, could have been 10.

Actors: The actress who plays Senua is incredible, that's a 10/10 too. And all the others did well too.

Now, what I do care about when I play games is the story, and that's a personal thing for me. If you hate games that feel more like movies, this isn't for you. And maybe I would have enjoyed it more if the writing was better. I loved the story of the first game, and it's a whole saga about Senua, about her sacrifice, her life, etc., and it's beautifully done. Now, on this one, I didn't feel truly connected to the story. It wasn't personal enough, I guess, and I couldn't find myself truly connected to the characters in the story, like we all did with Senua in the first game. This just didn't click; I didn't like the story or the way they took it.

What I liked was the emphasis on the Norsemen, brutal as they were, and I would love if they got more into that, more human things.

But overall, and it makes me sad to say this, but I think they only made this game because they felt like it needed to be made or something, I don't know. Because the first one had a whole lot more soul, without being with Microsoft or having that much of a budget. If they had no better story to continue, maybe they just shouldn't have continued.

Overall, feels just an unnecessary sequence, empty characters, an empty story.

I feel sad because I truly loved the first one, but I couldn't get myself to connect with the story of this one.

So, it's a 3/5.","2 people found this helpful."
"Z Botz","10 months ago","Just finished this grueling masterpiece last night. Graphics 10. Gameplay 4, due to a lot of walking! Audio 10, freaking scary voices that still remain in my head! Puzzles 7, not too hard. Battle Physics 7. Where this is not close to ACVH or Ghosts of Tsushima, limited controls and weapons. Just after beating the game I immediately went back to an early chapter to fight the Druids! Overall 7. Where this game lacks in gameplay, the graphics, visuals and audio make up for it! It is terrifyingly gruesome! This was a bit f a grind, couldn’t stop playing because I wanted to battle more demons! Definitely not meant for children! You will fall in love with Senua and if you survive or not you will want MORE out of this game!!!","1 person found this helpful."
"Ben Robinson","5 months ago","Hellblade 2 picks up brilliantly after the first title, with a recap of the original story for those who haven't played it, and if you have then you'll find this game much the same. There are the graphic and gameplay improvements that you'd expect with next gen sequel but otherwise this game doesn't offer much that's new. It seems that the mold wasn't broken when Senua's Sacrifice was released but it definately couldn't be bettered either. The original grabbed me from beginning to end but I have found myself getting bored at times playing this one, it's as dark and as emersive but this really is why I got bored - I felt that I'd played it already. 
If you didn't play the original then get on your own in a dark room and you'll love this, but if you did play the original don't expect anything more than what you've already done.","Was this review helpful to you?"
"Daniel Bagley","a month ago","A true masterpiece!! Hands down the best game I've ever played! Visually stunning at every second. I often stopped to admire the breathtaking scenery and detail. Absolutely beautiful! The storyline was captivating and engaging with no down time or boring moments. The gameplay was smooth and flawless unlike anything i've ever seen before. I couldn't put it down or stop thinking about it. We need more games like this. Period.","Was this review helpful to you?"
"Steve Fanion","9 months ago","Hellblade 2 is AMAZING!!! I absolutely LOVE IT!!! Hellblade 2 is a true cinematic MASTERPIECE! The graphics are AWESOME, the frame rate is GREAT, it runs so SMOOTH, the story is FANTASTIC, the combat is VERY SATISFYING, the cut scenes are INCREDIBLE, and the transitions are so SMOOTH and SEAMLESS, the voice acting is WONDERFUL, and the entire mood of the game is just so PERFECT!!! This game gets a PERFECT SCORE!!! If you are wondering about the people who gave this game a 1 star review here is something you might find interesting. My friend who owns a PS5 gave it a 1 star. But the interesting thing is that he wanted to play the game every time he came over since it came out. He said he loves it, so when I asked him why he gave it a 1 star review his answer was. "" I'm a PlayStation guy, and since it's not coming out on the PS5 I gave it a 1"". He then said all PS5 fanboys give every Xbox  Series X game a 1 if the game does not come out on PS5. I just find that way of thinking so weird and kind of funny!!! LOL!!!","Was this review helpful to you?"
"Christian Huye","9 months ago","1/5 stars if u actually payed full price for this game. 2/5 if u got it free on Game Pass. Everybody giving this game a 5/5 claiming it’s the best graphics in gaming are brain dead when it’s a 6-8 hour walk and talk game with easier puzzles than I played in Zelda games on Nintendo. Only things worth mentioning are graphics and the “Binaural audio” which again it’s a 7 hour walking game with combat that’s honestly so easy it’s criminal any enemy can be beat by Parrying 3 times and there’s no differences in the enemy mechanics just how they look. If anybody gives this $50 5 hour game a 5/5 they’re lying to promote buying this garbage walking simulator to either help the studio or help Microsoft. The story is eh no characters that are interesting or awesome but it tells a somewhat interesting story. Can’t believe some people got tricked into buying this mid. If they say 5/5 I’m convinced they never played a 5/5 game and that’s facts.","10 people found this helpful."
"Billy","3 days ago","First one was my absolute favourite game, this one is basically an unreal engine cutscene, hold forward and hammer the A button to play through except she can't step over a pebble and there's no indication of where to go so even getting past the first level is as frustrating as it gets. Graphics are cranked up so much that an albeit older graphics card which can still play most modern games struggles on the lowest setting.... proper gutting, about the only scottish video game character in existance (although she has a London accent for some unholy reason) with an interesting premise turned into ""look at how good our graphics are"". Sorry Senua, best to leave your adventure at your sacrifice as your saga is bogin.","Was this review helpful to you?"
"Eric Thomas","10 months ago","The story and gameplay is as expected from the previous installation. I do play on a 1440p 4070ti setup on PC. Only issue I currently have is that the graphics are meh in a sense that the upscalers kinda hold it back on PC. I will definitely download on the series x to see what 4k offers. But I prefer my 80 to 90 fps. But it should be a full blown cinematic experience. Aka full resolution needed. @xbox you should have given this game more attention. Because of your choices lately this game will carry most of the generation this year. Solid game at the end of the day. I just also feel Xbox pushed this game out the door just a little, not a lot out the door. Highly recommend this game and the team behind it. Attention to detail is a major plus!","1 person found this helpful."
"Cindy Carver","10 months ago","Audio, visual masterpiece...it's completely engrossing. I would much rather play a 7 hr game that's amazing than 100 hr game that's boring. This does what it sets out to brilliantly. The combat is brutal. If you are an action junkie it may not be for you,  but if you appreciate narrative, cinematic games you will absolutely love it. The audio is some of the best I've ever heard. The psychosis voices are so real sounding . I absolutely loved the game.","1 person found this helpful."
